adv001|AchuCatalog:Minifigures:Adventurers:Jungle
adv002|Alexis Sanister / Alexia SinisterCatalog:Minifigures:Adventurers:Dino Island
adv003|Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Desert
adv004|Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, Brown Aviator Cap, Black Goggles, White EpaulettesCatalog:Minifigures:Adventurers:Desert
adv005|Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, Light Gray Aviator Cap, Dark Gray Goggles, White EpaulettesCatalog:Minifigures:Adventurers:Desert
adv006|Dr. Kilroy / Dr. Charles Lightning - White Shirt and Suspenders, Green Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Desert
adv008|GabarroCatalog:Minifigures:Adventurers:Jungle
adv009|Harry CaneCatalog:Minifigures:Adventurers:Desert
adv010|Johnny Thunder (Desert)Catalog:Minifigures:Adventurers:Desert
adv012|Rudo Villano / Max VillanoCatalog:Minifigures:Adventurers:Jungle
adv014|MikeCatalog:Minifigures:Adventurers:Dino Island
adv015|Pippin Reed / Miss Gail Storm - Tan Shirt, Red Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Desert
adv016|Pippin Reed / Miss Gail Storm - Green Open Shirt, Red Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Jungle
adv018|Pippin Reed / Miss Gail Storm - Green Open Shirt, Red Legs, Brown Aviator Cap, Black GogglesCatalog:Minifigures:Adventurers:Dino Island
adv019|Mr. Cunningham with Black HipsCatalog:Minifigures:Adventurers:Dino Island
adv020|Mr. Cunningham with Brown HipsCatalog:Minifigures:Adventurers:Dino Island
adv021|Pharaoh HotepCatalog:Minifigures:Adventurers:Desert
adv023|Señor Palomar / Señor Gomez {Senor}Catalog:Minifigures:Adventurers:Jungle
adv024|Johnny Thunder (Expedition)Catalog:Minifigures:Adventurers:Orient Expedition
adv025|Lord Sam Sinister / Baron von Barron - Black Shirt, Dark Gray Legs, Black Top HatCatalog:Minifigures:Adventurers:Orient Expedition
adv026|Dr. Kilroy / Dr. Charles Lightning - Green and Lime Vest, White Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Orient Expedition
adv027|BablooCatalog:Minifigures:Adventurers:Orient Expedition
adv028|Pippin Reed / Miss Gail Storm - Brown Parka, Tan Legs, Brown Mongolian HatCatalog:Minifigures:Adventurers:Orient Expedition
adv029|Sherpa Sangye Dorje with BackpackCatalog:Minifigures:Adventurers:Orient Expedition
adv030|Maharaja LalluCatalog:Minifigures:Adventurers:Orient Expedition
adv031|Scorpion Palace GuardCatalog:Minifigures:Adventurers:Orient Expedition
adv032|Ngan Pa (Yeti Hunter)Catalog:Minifigures:Adventurers:Orient Expedition
adv033|Dr. Kilroy / Dr. Charles Lightning - Dark Gray Open Jacket, Black Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Orient Expedition
adv034|Pippin Reed / Miss Gail Storm - Green Closed Shirt, Tan Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Orient Expedition
adv035|Dr. Kilroy / Dr. Charles Lightning - Green and Lime Vest, Green Legs, White Pith HelmetCatalog:Minifigures:Adventurers:Orient Expedition
adv036|Lord Sam Sinister / Baron von Barron - Black Shirt, Dark Gray Legs, Black Aviator Cap, Dark Gray GogglesCatalog:Minifigures:Adventurers:Orient Expedition
adv037|Johnny Thunder with Tan Legs with Pockets and Black HandsCatalog:Minifigures:Adventurers:Orient Expedition
adv038|Slyboots / Sam SinisterCatalog:Minifigures:Adventurers:Desert
adv039|Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, White Pith Helmet, White EpaulettesCatalog:Minifigures:Adventurers:Desert
adv040|Dr. Kilroy / Dr. Charles Lightning - White Shirt and Suspenders, Green Legs, White Pith Helmet, Brown BackpackCatalog:Minifigures:Adventurers:Desert
adv041|Johnny Thunder (Desert) with BackpackCatalog:Minifigures:Adventurers:Desert
adv042|Rudo Villano / Max Villano - Brown BackpackCatalog:Minifigures:Adventurers:Jungle
adv043|Señor Palomar / Señor Gomez {Senor} - Brown BackpackCatalog:Minifigures:Adventurers:Jungle
adv044|Pippin Reed / Miss Gail Storm - Green Open Shirt, Red Legs, White Pith Helmet, Brown BackpackCatalog:Minifigures:Adventurers:Jungle
adv045|Dragon Fortress Guardian - Bat Helmet, ArmorCatalog:Minifigures:Adventurers:Orient Expedition
adv046|Dragon Fortress Guard - Conical HelmetCatalog:Minifigures:Adventurers:Orient Expedition
adv047|Dragon Fortress Guard - Conical Helmet, QuiverCatalog:Minifigures:Adventurers:Orient Expedition
adv048|Emperor Chang Wu with CapeCatalog:Minifigures:Adventurers:Orient Expedition
adv049|Pippin Reed / Miss Gail Storm - Tan Shirt, Red Legs, Brown Aviator Cap, Black GogglesCatalog:Minifigures:Adventurers:Orient Expedition
adv050|Jing Lee the WandererCatalog:Minifigures:Adventurers:Orient Expedition
